asset_uuid,label,manifest_uri,iiif_image_uri
e2gbdhs6FOWTYVRRseehJwkb,"Sierinitiaal I, romein (23 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/e2gbdhs6FOWTYVRRseehJwkb.json,https://dams1.antwerpen.be/iiif/e2gbdhs6FOWTYVRRseehJwkb/full/full/0/default.jpg
y2MGCadelTf4RcIZEXgVpgjf,De vos en de wolf,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/y2MGCadelTf4RcIZEXgVpgjf.json,https://dams1.antwerpen.be/iiif/y2MGCadelTf4RcIZEXgVpgjf/full/full/0/default.jpg
I2TSHLZHJWUVpVVa6cmBIb7Z,"Sierinitiaal I, romein (29 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/I2TSHLZHJWUVpVVa6cmBIb7Z.json,https://dams1.antwerpen.be/iiif/I2TSHLZHJWUVpVVa6cmBIb7Z/full/full/0/default.jpg
UaGlUJAWnT99XSIRdQ41WOG6,MPM_HB_00509_afdruk.tif,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/UaGlUJAWnT99XSIRdQ41WOG6.json,https://dams1.antwerpen.be/iiif/UaGlUJAWnT99XSIRdQ41WOG6/full/full/0/default.jpg
Y2FULseA3KTfWCLhXvz1597P,Weegbreezonnebloem [Doronicum plantagineum],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/Y2FULseA3KTfWCLhXvz1597P.json,https://dams1.antwerpen.be/iiif/Y2FULseA3KTfWCLhXvz1597P/full/full/0/default.jpg
bIHmVOESLTfQIQqdJInLxwls,MPM_HB_00842_afdruk.tif,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/bIHmVOESLTfQIQqdJInLxwls.json,https://dams1.antwerpen.be/iiif/bIHmVOESLTfQIQqdJInLxwls/full/full/0/default.jpg
F1ZMNAcYTVfuUFkINxfRkobm,"Sierinitiaal P, romein (23 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/F1ZMNAcYTVfuUFkINxfRkobm.json,https://dams1.antwerpen.be/iiif/F1ZMNAcYTVfuUFkINxfRkobm/full/full/0/default.jpg
e2HsNEjKhWWbLa7sTRvRe107,"Sierinitiaal E, romein, arabeske versiering (14 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/e2HsNEjKhWWbLa7sTRvRe107.json,https://dams1.antwerpen.be/iiif/e2HsNEjKhWWbLa7sTRvRe107/full/full/0/default.jpg
PDRTNeeeuWZbTHmoY0o4FW8i,Echte valeriaan [Valeriana officinalis],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/PDRTNeeeuWZbTHmoY0o4FW8i.json,https://dams1.antwerpen.be/iiif/PDRTNeeeuWZbTHmoY0o4FW8i/full/full/0/default.jpg
t1qZDnWqcQiDakPLLUG1AgwY,MPM_HB_08487_afdruk.tif,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/t1qZDnWqcQiDakPLLUG1AgwY.json,https://dams1.antwerpen.be/iiif/t1qZDnWqcQiDakPLLUG1AgwY/full/full/0/default.jpg
SWJemRecKOm8pLGKTOk2W4A5,Diagram geometrische optica (p. 326) met een decoratief bloemmotief,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/SWJemRecKOm8pLGKTOk2W4A5.json,https://dams1.antwerpen.be/iiif/SWJemRecKOm8pLGKTOk2W4A5/full/full/0/default.jpg
k1RjTYSZbTmU2FWLIV75BjXq,"Initiaal G, romein",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/k1RjTYSZbTmU2FWLIV75BjXq.json,https://dams1.antwerpen.be/iiif/k1RjTYSZbTmU2FWLIV75BjXq/full/full/0/default.jpg
D2fhcRTekMDSfLJdVcUOaxgf,MPM_HB_08514_afdruk.tif,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/D2fhcRTekMDSfLJdVcUOaxgf.json,https://dams1.antwerpen.be/iiif/D2fhcRTekMDSfLJdVcUOaxgf/full/full/0/default.jpg
EM8DtajkyRUWTUGLd0Fs1lud,"Sierinitiaal N, romein (23 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/EM8DtajkyRUWTUGLd0Fs1lud.json,https://dams1.antwerpen.be/iiif/EM8DtajkyRUWTUGLd0Fs1lud/full/full/0/default.jpg
Z2YY3G3aIrXS9JPlMTszXBYh,Gewone margriet [Leucanthemum vulgare],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/Z2YY3G3aIrXS9JPlMTszXBYh.json,https://dams1.antwerpen.be/iiif/Z2YY3G3aIrXS9JPlMTszXBYh/full/full/0/default.jpg
Z2MaXORkf6eLWo6VDe99QIPh,Bolletjeskers [Cardamine bulbifera],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/Z2MaXORkf6eLWo6VDe99QIPh.json,https://dams1.antwerpen.be/iiif/Z2MaXORkf6eLWo6VDe99QIPh/full/full/0/default.jpg
x1YOAGUWHdrSbSzXSegQNuRw,"Sierinitiaal M, romein",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/x1YOAGUWHdrSbSzXSegQNuRw.json,https://dams1.antwerpen.be/iiif/x1YOAGUWHdrSbSzXSegQNuRw/full/full/0/default.jpg
O2MPIdSdW9LrxhOBHlu0JMCd,"Vijgcactus, Barbarijse vijg of woestijnvijg [Opuntia ficus-indica]: met bloemen",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/O2MPIdSdW9LrxhOBHlu0JMCd.json,https://dams1.antwerpen.be/iiif/O2MPIdSdW9LrxhOBHlu0JMCd/full/full/0/default.jpg
i2NLoFTLrCMdkLXXEQKex1Jh,"Sierinitiaal A, romein (16 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/i2NLoFTLrCMdkLXXEQKex1Jh.json,https://dams1.antwerpen.be/iiif/i2NLoFTLrCMdkLXXEQKex1Jh/full/full/0/default.jpg
wCjYQQ3gHfQc8hVAgTW2T6Rc,Bergcentaurie [Centaurea montana],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/wCjYQQ3gHfQc8hVAgTW2T6Rc.json,https://dams1.antwerpen.be/iiif/wCjYQQ3gHfQc8hVAgTW2T6Rc/full/full/0/default.jpg
udYcRlgONQaWOaRZB4QQqY9E,Vignet: sierlijst met zelfkastijding en mand (boven),https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/udYcRlgONQaWOaRZB4QQqY9E.json,https://dams1.antwerpen.be/iiif/udYcRlgONQaWOaRZB4QQqY9E/full/full/0/default.jpg
G1GNVgOpXMLmNnF9MWlhgIfS,Akkerkers [Rorippa sylvestris] of Erucastrum nasturtiifolium,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/G1GNVgOpXMLmNnF9MWlhgIfS.json,https://dams1.antwerpen.be/iiif/G1GNVgOpXMLmNnF9MWlhgIfS/full/full/0/default.jpg
x2kNaQnMSUDlKQYjCXaEtOlz,"Sierinitiaal A, romein (16 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/x2kNaQnMSUDlKQYjCXaEtOlz.json,https://dams1.antwerpen.be/iiif/x2kNaQnMSUDlKQYjCXaEtOlz/full/full/0/default.jpg
s1QRJbBJDUSfWAYZkrhAhrp7,Kosmografische illustratie: negen soorten kometen,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/s1QRJbBJDUSfWAYZkrhAhrp7.json,https://dams1.antwerpen.be/iiif/s1QRJbBJDUSfWAYZkrhAhrp7/full/full/0/default.jpg
NIfinFkaPVbaHCkIZnBYmFYI,Bergthee [Sideritis syriaca],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/NIfinFkaPVbaHCkIZnBYmFYI.json,https://dams1.antwerpen.be/iiif/NIfinFkaPVbaHCkIZnBYmFYI/full/full/0/default.jpg
F1ZmRZTNKQoElFRoNitniHDC,Engelse tarwe [Triticum turgidum],https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/F1ZmRZTNKQoElFRoNitniHDC.json,https://dams1.antwerpen.be/iiif/F1ZmRZTNKQoElFRoNitniHDC/full/full/0/default.jpg
h1tL93ieCdTVVHhJnTCIwqDj,"Sierinitiaal S, romein (16 mm)",https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/h1tL93ieCdTVVHhJnTCIwqDj.json,https://dams1.antwerpen.be/iiif/h1tL93ieCdTVVHhJnTCIwqDj/full/full/0/default.jpg
D11eILqNXUDSkPJRTlS20UPA,Emblematische voorstelling: Stans uno capit omnia puncto,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/mpm-woodcuts/manifests/D11eILqNXUDSkPJRTlS20UPA.json,https://dams1.antwerpen.be/iiif/D11eILqNXUDSkPJRTlS20UPA/full/full/0/default.jpg
