asset_uuid,title,identifier,publisher,manifest_uri
D1UibYOYZUpIGqqrhSvnrk13,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/D1UibYOYZUpIGqqrhSvnrk13.json
F1oOODaWQmZKKTEBs5fh3TGY,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/F1oOODaWQmZKKTEBs5fh3TGY.json
CSOQgca2YdXSblDXVa0lLVnT,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/CSOQgca2YdXSblDXVa0lLVnT.json
H1FYlloxaFSOYOfbd8guuamr,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/H1FYlloxaFSOYOfbd8guuamr.json
F2ErCZeVNOOYCfYhQNTLc1WY,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/F2ErCZeVNOOYCfYhQNTLc1WY.json
I2YvXbktUWGSYuPhnlUZyChr,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/I2YvXbktUWGSYuPhnlUZyChr.json
J1fWWVZTQSEJN9QSJob4Mhqd,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/J1fWWVZTQSEJN9QSJob4Mhqd.json
K1rGUMsexRZKViJhhNvU75da,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/K1rGUMsexRZKViJhhNvU75da.json
J2TaNdNRPKdTfnY5LZW3kkg0,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/J2TaNdNRPKdTfnY5LZW3kkg0.json
K1WxgbbPROdaSNWnVTnW2PTB,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/K1WxgbbPROdaSNWnVTnW2PTB.json
tTdMfGVKijhrNdKacEarzQb7,De verzoening van de Romeinen met de Sabijnen,RH.S.220,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/tTdMfGVKijhrNdKacEarzQb7.json
z1FZXqccUBSfurHaGgnPFfgq,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/z1FZXqccUBSfurHaGgnPFfgq.json
x15UaXfbALjKQoLEksdIGRM7,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/x15UaXfbALjKQoLEksdIGRM7.json
TcXZbYFVUB7KxkMMG4LlOpqn,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/TcXZbYFVUB7KxkMMG4LlOpqn.json
NNacXReg9NmLXgckOvhABhq3,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/NNacXReg9NmLXgckOvhABhq3.json
R1RrVHTJHddcgRgUvWNuKe37,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/R1RrVHTJHddcgRgUvWNuKe37.json
R2GOXjFUuiNCRoXwVnYRCEY6,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/R2GOXjFUuiNCRoXwVnYRCEY6.json
V2HY49SZlFoLPQLSPhliKgw7,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/V2HY49SZlFoLPQLSPhliKgw7.json
yRaIQSjgJcZojVlhSgow8cpn,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/yRaIQSjgJcZojVlhSgow8cpn.json
z2HNb7ZBMUPONVJVlV4w1BUS,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/z2HNb7ZBMUPONVJVlV4w1BUS.json
p1gRFZbOTmW96gsKTJvUcXMx,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/p1gRFZbOTmW96gsKTJvUcXMx.json
t2YJaVWKehSNEW7Qoushlxiv,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/t2YJaVWKehSNEW7Qoushlxiv.json
LGjFUEVdHeIUFYcAR4Xes3fo,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/LGjFUEVdHeIUFYcAR4Xes3fo.json
p1dUMeXLQ9XURmSOXhAeTUJp,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/p1dUMeXLQ9XURmSOXhAeTUJp.json
I2LCEMtdXXwkHGYQRHUq3Cew,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/I2LCEMtdXXwkHGYQRHUq3Cew.json
CJTKFdssDgRqMtYJG5O7HJ3Z,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/CJTKFdssDgRqMtYJG5O7HJ3Z.json
B1EoPBjnGCZMPOuMeXzD7BSa,Interieur Rubenshuis: grote slaapkamer,RH.OE.001.020,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/B1EoPBjnGCZMPOuMeXzD7BSa.json
YRRjiMCoZRMl2fXeIrmpSLYq,Interieur Rubenshuis: grote slaapkamer,RH.OE.001.020,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/YRRjiMCoZRMl2fXeIrmpSLYq.json
I2YqeRpHMWhgjXQFTIIXUxDU,Interieur Rubenshuis: hoekkamer,RH.OE.001.023,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/I2YqeRpHMWhgjXQFTIIXUxDU.json
k2HOaRmLWXVhSudZWWB0aTW0,Interieur Rubenshuis: hoekkamer,RH.OE.001.023,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/k2HOaRmLWXVhSudZWWB0aTW0.json
LaDVY7lJR9qacBbHhSfeeYep,Interieur Rubenshuis: familiekamer,RH.OE.001.024,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/LaDVY7lJR9qacBbHhSfeeYep.json
r2EnTNribUhSWcKTacVReffC,Interieur Rubenshuis: familiekamer,RH.OE.001.024,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/r2EnTNribUhSWcKTacVReffC.json
GaFDlC5XHWOrQ9pTTcFgZIyF,Interieur Rubenshuis: kleine slaapkamer,RH.OE.001.021,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/GaFDlC5XHWOrQ9pTTcFgZIyF.json
A4PPOrXMlYWdnBfWRUsRAGaF,Interieur Rubenshuis: kleine slaapkamer,RH.OE.001.021,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/A4PPOrXMlYWdnBfWRUsRAGaF.json
